Connection_Id	Source	Destination	path used	path_cost	Label_List
1		21	0		1		4		101 102 101 102 
2		19	4		1		5		101 102 101 102 101 
3		2	11		1		2		101 103 
4		2	20		2		7		102 101 102 101 102 101 103 
5		12	7		1		2		103 104 
6		14	16		1		2		105 102 
7		14	19		1		1		106 
11		17	15		1		1		103 
12		11	21		1		3		102 104 101 
13		9	0		1		1		102 
14		22	12		1		2		102 105 
15		11	17		1		1		103 
16		11	15		1		2		104 107 
19		21	17		1		2		103 104 
23		10	8		2		2		101 103 
24		3	2		1		1		101 
26		15	21		1		2		103 104 
28		11	7		1		2		105 106 
32		0	10		1		2		104 105 
33		7	14		2		2		104 101 
35		12	22		1		2		105 109 
37		12	15		1		2		106 110 
38		7	20		2		4		105 102 103 105 
39		9	15		1		2		106 103 
47		13	15		1		3		103 104 106 
50		14	0		1		2		108 107 
54		23	18		1		1		101 
56		9	14		2		2		107 108 
57		20	15		1		2		103 108 
67		18	9		2		3		109 110 104 
81		18	20		1		1		110 
86		21	15		1		2		106 111 
90		14	20		1		2		110 105 
94		11	14		1		2		106 111 
96		18	10		2		3		112 113 107 
99		21	18		1		1		107 
